技術スキル,その他特徴,金額,要約
"PHP (3年以上, Laravel/Symfony/CakePHP/FuelPHPいずれか), LAMP環境, Git, Linux, AWS (サーバ構築経験), PHPバージョン移行経験 (5系→8系), 仮想ローカル環境構築経験。尚可: BtoC向けWebアプリ開発, EC/ガチャ/Lottery関連サービス経験, AWSインフラ作業 (EC2→ECS, Apache→Nginx)。","ファンサービスEC／ガチャシステム開発, 急募, 即日～長期, 渋谷勤務 (週2出社+週3リモート), 基本設計～リリース工程, 体制11名参画中, 面談1回(対面), 商流制限:貴社社員まで, 国籍:日本国籍のみ, 年齢:40代前半まで, 契約形態:準委任契約(フリーランス可), 支払いサイト:40日。",62万円前後（スキル見合い）,PHPを用いたファンサービスEC／ガチャシステムの開発・保守案件。既存システムのPHPバージョンアップ（5系→8系）対応を中心に、エンハンス開発・保守を担当。渋谷勤務（週3リモート可）、即日～長期。単価62万円前後。商流は貴社社員まで、日本国籍、40代前半までを想定。
"PHP(3年以上, LAMP環境, Laravel/Symfony/CakePHP/FuelPHP), Git, Linuxコマンド, PHPバージョン移行(5系→8系), AWS環境でのサーバ構築経験, 仮想ローカル環境構築。尚可: BtoC向けWebアプリケーション開発, EC/くじ/ガチャ/Lottery関連サービス経験, AWSインフラ寄り作業(EC2→ECS化, Apache→Nginx変更)","急募, ファンサービスEC/ガチャ開発, 長期, 渋谷駅(週2出社+週3リモートのハイブリッド勤務), 募集1名, 精算幅140h-180h, 商流貴社社員まで, 日本国籍, 40代前半までを想定, 準委任契約(フリーランス可), 支払いサイト40日, 弊社メンバー11名参画中のチーム体制, 面談1回(顔合わせ対面)",62万円前後（スキル見合い）,アーティストのファンクラブサービス向けに、オンラインガチャシステムおよびECサイトのエンハンス開発・保守を担当するPHP案件。PHPバージョンアップ(5系→8系)を中心に、複雑な仕様改修や新機能開発に携わる。即日～長期を想定しており、渋谷でのハイブリッド勤務。PHP3年以上の経験と主要フレームワーク、AWS経験が必須。単価は62万円前後。
"AWS, Linux, UNIX, Windows, 仮想化基盤",インフラ運用経験者の募集。要件変更あり、動きが早い案件。12月～または即or1月～長期。勝どき勤務（慣れるまで常駐、その後週2程度リモート可）。手順書等のドキュメント作成経験、サービスサポート経験（メール、電話対応）必須。オープン系システム基盤の運用保守経験4年以上。短期案件(1年以下)が少ない方を希望。1名募集。外国籍不可。年齢30-45歳以下。面談2回。貴社1社下まで（所属会社名開示あり）。一斉配信、WEB掲載はご遠慮ください。,55万前後,ミギテックの佐藤氏より、AWS/Linux構築・運用要員の募集依頼。即または1月～長期案件で、場所は勝どき（週2回程度のリモートワーク併用可）。AWS、Linux、Windowsなどのオープン系システム基盤運用保守経験4年以上と、ドキュメント作成・サービスサポート経験が必須。単価は55万円前後でスキル見合い。年齢30-45歳以下、外国籍不可、短期案件経験の少ない方を求めている。
"AWS, Linux, UNIX, Windows, 仮想化基盤","運用保守経験4年以上, サービスサポート経験, ドキュメント作成スキル, 短期案件経験少なめ, リモート併用 (週2程度), 外国籍不可, 貴社1社下まで (所属会社名開示あり), 年齢30-45歳以下",55万前後(スキル見合い),AWS、Linux構築、運用要員として、AWS/Linux/UNIX/Windows等のオープン系システム基盤運用保守経験4年以上、ドキュメント作成スキルを持つインフラエンジニアを募集。勝どきでの常駐とリモート併用。単価は55万円前後。年齢制限あり。
"Linux (RHEL), 仮想基盤 (OS/ミドルウェア設定), Oracle DB, Apache, Tomcat, Java (OpenJDK), Spring MVC, TERASOLUNA, Struts, FINALUNA","西葛西常駐, 2026年1月～7月末, 精算140-180, 募集1名, サイト45日, 面談2回, 商流(元請け→上位→GFD), 55歳まで, 自社所属まで, 外国籍不可, 自走・コミュニケーション能力重視, 若手枠",50万円前後,GFD社からの「コンプライアンスWAN更改」案件募集。株式市場の不正情報共有システム基盤の更改に伴い、仮想基盤上のOS・ミドルウェア設定、データ移行、およびRHEL/Oracle/Apache/Tomcat/Java等のマイグレーションを実施。Linux構築・仮想基盤設定経験と自走・コミュニケーション能力を持つ55歳までのエンジニア1名を希望。単価は50万円前後。
"ネットワーク設計構築, FW, L3, L2, AP, 無線LAN, Windows, Linux, 仮想基盤","官公庁案件, 中長期(~2026年2月), 飯田橋・週2～3リモート, 月数回地方出張・虎ノ門での客先対応可能性あり, 商流制限(貴社まで), 外国籍不可, 個人事業主不可, 45歳まで",~65万,"行政機関向けネットワーク更改案件における設計構築要員を募集。ネットワーク設計構築経験必須（FW, L3, L2, AP, 無線LAN, Windows, Linux, 仮想基盤）。飯田橋もしくは週2～3リモート。月数回の地方出張あり。単価～65万円。45歳まで。"
"ネットワーク(L2～L4), AWS, Azure, 無線APキッティング, LDAP, ActiveDirectory, SAML, クライアント証明書, ストレージ, 仮想化(Hyper-V, Vmware, KVM), Windows, Linux, PM/PL","作業場所: 大手町/大崎/在宅勤務(一部出社), 期間: 2月～3月(延長あり), 人数: 1名, 面談: 2回(Web), 商流: 貴社正社員/契約社員, 国籍: 日本, 弊社と派遣契約",スキル見合い,NTTグループ向けネットワーク関連サービスプロジェクト支援。無線APキッティング、ヘルプデスク、見積、設計構築、ドキュメント作成・管理、営業・PM支援など。
"AWS, Linux, UNIX, Windows, 仮想化基盤運用保守, サービスサポート, ドキュメント作成",場所:勝どき（慣れるまで常駐、その後週2程度リモート）、期間:即or1月～長期、人数:1名、外国籍不可、年齢:30-45歳以下、面談2回、貴社1社下まで（所属会社名開示あり）、トラブル対応時に直接連絡可能性あり、一斉配信・WEB掲載不可,55万前後(スキル見合い),AWS、Linux等のオープン系システム基盤の運用保守経験者（4年以上）を募集。手順書などのドキュメント作成スキル、サービスサポート経験も必須。勝どき勤務（リモート併用）の長期案件で、単価は55万円前後。
"AWS, UNIX, Linux, Windows, 仮想化基盤関連","リーダー候補, システム復旧プラン(DRP)整備経験, 運用改善経験, ドキュメント作成スキル, 短期案件少なめの方, 勝どき勤務（リモート併用）, 長期案件, 外国籍不可, 商流貴社1社下まで, 年齢30-50歳以下, 一斉配信・WEB掲載NG",60万前後(スキル見合い),"システム復旧や運用改善の経験を持つインフラ運用要員（リーダー候補）の募集です。AWS, UNIX, Linux, Windows等のオープン系システム基盤運用保守経験5年以上が必須。勝どきでの常駐（週2程度リモート併用）で、期間は12月～長期。単価は60万円前後（スキル見合い）です。"
"AWS, 仮想化基盤, UNIX, Linux, Windows","リーダー候補, システム復旧プラン(DRP)整備経験, 運用改善経験, ドキュメント作成スキル, 短期案件経験が少ない方優遇, 場所:勝どき（常駐後週2リモート可）, 期間:12月～長期, 人数:1名, 外国籍:不可, 商流:貴社1社下まで（所属会社名開示あり）, 年齢:30-50歳以下, 勤務時間:9時～18時, 一斉配信・WEB掲載不可",60万前後,システム運用要員（リーダー候補）の募集。AWS、仮想化基盤、UNIX、Linux、Windows等のオープン系システム基盤の運用保守経験5年以上が必須。システム復旧や運用改善の経験も重視。勝どきでの常駐（その後週2リモート併用）で12月～長期案件。単価はスキル見合いで60万前後。
"Windows Server運用, Windows Server 2016, Windows 10, 仮想化技術 (vSphere, XenDesktop), RDS","勤務地: 吉祥寺, 期間: 長期 (2026年1月5日～), 勤務形態: 週2,3回シフト制 (朝晩・遅番、休日深夜帯の可能性あり), テレワークなし, 日本国籍必須, ポジティブ・能動的な対応力",スキル見合い,某官公庁システムの端末運用保守管理業務において、Windows Server 2016/10、vSphere、Virtual Apps and Desktops (XenDesktop)、RDS等のスキルを持つ運用エンジニアを募集しています。吉祥寺での常駐勤務、シフト制、単価はスキル見合いです。
"Linux, RHEL, Oracle DB, Apache, Tomcat, WebSphere, Java, OpenJDK, Spring MVC, TERASOLUNA, Struts, 仮想基盤, ミドルウェア設定","期間: 2026年1月～7月末まで, 場所: 西葛西(常駐), 精算: 140-180, 募集人数: 1名, サイト: 45日, 就業時間: 9:30～18:00, 面談: 2回(Web・対面未定), 商流制限: 貴社所属まで, 年齢制限: 55歳まで, 外国籍制限: 不可, 求める人物像: 自走してコミュニケーションが取れる方、適宜打合せを実施し要件要望を抽出し解決できる方、健康面で不安のない方",50万円前後,GFD社からの案件紹介。コンプライアンスWAN更改プロジェクトにおけるインフラエンジニアの募集。仮想基盤上のOS・ミドルウェア設定、データ移行、およびRHEL、Oracle DB、Apache、Tomcat、Java等の既存システムマイグレーションが主な業務。Linux構築経験と自走できるコミュニケーション能力が必須。西葛西常駐、2026年1月～7月末までの案件。
"Linux, RHEL, Oracle DB, Apache, Tomcat, Java, Spring MVC, OS/ミドルウェア設定, 仮想基盤","案件名:コンプライアンスWAN更改。業務内容:OS・ミドルウェア設定、データ移行、基盤更改（RHEL, Oracle, Apache, Tomcat, Java等のバージョンアップ）。場所:西葛西常駐。期間:2026年1月～7月末。精算:140-180。募集1名。面談2回。商流制限(貴社所属まで)、年齢制限55歳まで、外国籍不可。自走できコミュニケーション能力の高い方。",50万円前後,GFD社からのインフラ案件募集。株式市場での不正行為情報共有システムの基盤更改プロジェクトで、RHEL/Oracle/Apache/Tomcat/Java等のOS・ミドルウェア設定およびデータ移行を担当。Linux構築経験、仮想基盤OS/ミドルウェア設定経験が必須。西葛西常駐、2026年1月～7月末までの単価50万円前後の案件。自走できる方を希望。
"SecureDesktop (Soliton), AD, Citrix VDI, 基本設計, マスターイメージ作成/チューニング経験, 仮想アプリ/デスクトップ調整経験","案件名: VDI刷新およびEntra ID移行プロジェクト, 概要: グループ合併に伴うCitrixからSecureDesktopへのVDI刷新・Entra ID移行, 内容: オンプレAD現状把握・Entra ID移行設計/構築, ドメイン変更対応, CitrixからSecureDesktop設計/構築支援, SSO構成設計/設定, ドキュメント作成, 勤務時間: 10:00-18:30, 面談: 2回, エンド直案件",75万,EBAテックより、VDI刷新およびEntra ID移行プロジェクトの案件情報。SecureDesktop/ADの基本設計経験、マスターイメージ作成・チューニング経験を持つエンジニアを募集。単価75万円、面談2回、エンド直案件です。
"Red Hat Enterprise Linux, Windows server, VMware vCenter Server Appliance, BIND, chrony, PRIMECLUSTER HA Server, Veeam Backup & Replication, VMware Multi-Pathing plug-in for ETERNUS, PostgreSQL, Red Hat Ansible Automation Platform, ETERNUS SF Storege Cruiser, Infrastructure Manager Advanced Edition, 運用設計(監視・ジョブ等), 仮想ストレージ設計, メインフレームからの移行案件経験",官公庁データ管理システムのモダナイゼーション、メインフレームからオープン基盤へのリプレース、運用設計＋仮想化基盤、東中野勤務、複数名募集、面談設定済み（11日19:00~）、外国籍不可、エンド直案件,65~70万※スキルによって上振れあり,官公庁のメインフレーム基盤データ管理システムをオープン基盤へリプレースする案件。運用設計および仮想化基盤を担当できるインフラエンジニアを複数名募集。東中野勤務で2026年1月開始。特定の製品スキルと運用設計・移行経験が求められる。
"Red Hat Enterprise Linux, Windows Server, VMware vCenter Server Appliance, BIND, chrony, PRIMECLUSTER HA Server, Veeam Backup & Replication, VMware Multi-Pathing plug-in for ETERNUS, PostgreSQL, Red Hat Ansible Automation Platform, ETERNUS SF Storage Cruiser, Infrastructure Manager Advanced Edition, 運用設計（監視・ジョブ等）, 仮想ストレージ設計, メインフレームからの移行案件経験",案件名: 官公庁データ管理システムのモダナイゼーション。メインフレーム基盤からオープン基盤へのリプレースにおける運用設計と仮想化基盤を担当。構築チーム追加あり(4月～)。時期: 2026年1月～長期。場所: 東中野。募集人数: 複数名。面談: 1回、現地対面面談(11日19:00設定済み)。勤務時間: 9:00～17:50。外国籍不可。,65万～70万円（スキルにより上振れあり）,"EBAテックより、官公庁データ管理システムのメインフレームからオープン基盤へのリプレース案件の募集。運用設計と仮想化基盤の経験者を求む。Red Hat Linux, Windows Server, VMware等の設計スキルが必須。単価65〜70万円、2026年1月からの長期案件で東中野勤務。既に面談設定済み（11日19:00）。"
"ネットワーク, FW, L3, L2, AP, 無線LAN, Windows, Linux, 仮想基盤, 詳細設計, 構築, 試験","作業場所: 飯田橋、週2～3回リモート可, 期間: 2023年11月～2026年2月（中長期）, 募集人数: 1名, 面談: 1～2回 (Web), その他条件: 月数回の客先対応（虎ノ門）あり, 月数回の地方出張あり, 商流制限（貴社まで）, 外国籍不可, 個人事業主不可, 45歳まで",~65万,"官公庁向けネットワーク更改案件における設計構築要員。各拠点ネットワーク機器（FW, L3, L2, AP等）の設計構築および現地対応、下請けベンダーとの作業調整・業務連携、成果物（設計資料、運用手順書等）の作成。"
"AWS, 仮想化基盤, UNIX, Linux, Windows, システム復旧プラン(DRP), 運用改善, ドキュメント作成","リーダー候補, 勝どき（慣れるまで常駐、その後週2程度リモート併用）, 12月～長期, 1名募集, 外国籍不可, 商流1社下まで, 年齢30-50歳以下, 面談2回, 勤務時間9-18時, 動き早い／即or1月開始",60万前後(スキル見合い),"システム運用要員（リーダー候補）の募集。オープン系システム基盤（AWS, 仮想化基盤, UNIX, Linux, Windows等）の運用保守、システム復旧プラン(DRP)整備、運用改善の経験が必須。勝どきでの常駐後、週2程度リモート併用可能な長期案件。"
"AWS, 仮想化基盤, UNIX, Linux, Windows, システム復旧(DRP), 運用改善, ドキュメント作成","リーダー候補, 勝どき(週2リモート併用), 12月～長期, 外国籍不可, 商流1社下まで, 30-50歳以下, 即日または1月開始希望",60万前後(スキル見合い),ミギテックからのシステム運用要員（リーダー候補）案件。勝どき勤務（慣れたら週2リモート可）。AWS、仮想化基盤、UNIX、Linux、Windows等のオープン系システム基盤運用保守、システム復旧、運用改善経験が必須。12月～長期希望で、単価は60万前後。30～50歳が対象で、即日または1月開始を希望。
"AWS, Linux, UNIX, Windows, 仮想化基盤","動き早いです, リモート併用(週2程度), 勝どき勤務, 即or1月～長期, 募集人数1名, 外国籍不可, 年齢30-45歳以下, 精算詳細確認中, 面談2回, 貴社1社下まで, 所属会社名開示あり, トラブル対応時直接連絡可能性あり, 勤務時間9時～18時, 運用保守経験, サービスサポート経験(メール, 電話対応), 運用設計書・手順書・作業フロー等のドキュメント作成スキル",55万前後(スキル見合い),ミギテックの佐藤氏から送られた、AWS/Linux構築、運用要員の募集案件。勝どき勤務（慣れるまで常駐、その後週2程度リモート）で、即または1月からの長期稼働を想定。必須スキルはAWS/Linux等のオープン系システム基盤運用保守経験とドキュメント作成スキル。単価は55万円前後で、30～45歳を希望。動きが早い案件とのこと。
"Linux, NW, Windows Server, Microsoft Azure, Microsoft365, Splunk Cloud, FortiGate, Cisco Firepower, Recorded Future, ZIA, ウイルスバスター, VPN, クラウド, 仮想環境, VMware, セキュリティ推進, CSIRT, ドキュメント作成","案件名: セキュリティインシデント対応, 内容: 大手企業グループ向けセキュリティ推進、実機操作なしのPMO寄り立ち回り, 場所: 丸の内or新川（リモート併用、参画後1ヶ月出社見込み、その後週1程度出社）, 期間: 1月～, 募集: 1名, 面談: 1回（WEB）, 精算: 140-180h, 時間: 9:00～17:20, 国籍: 外国籍不可, 商流: 貴社まで, 特徴: 急募、上位独占、今週中に確定必須、複数プロジェクトを並行して対応",～65万,株式会社Dexallからの、大手企業グループ向けセキュリティ推進・インシデント対応案件。実機操作なしのPMO寄りな立ち位置で、セキュリティアセスメント、CSIRT立ち上げ、脆弱性管理などを担当。Linux、NW、各種セキュリティ製品の知識が必須。丸の内/新川にてリモート併用（週1出社想定）。単価は～65万円で1月参画開始の急募案件。
"ネットワーク (FW, L3, L2, AP, 無線LAN), Windows, Linux, 仮想基盤",官公庁向けネットワーク更改案件における設計構築要員。詳細設計・構築・試験経験、無線LAN構築経験必須。設計資料レビュー経験、品質を意識した成果物作成経験。地方出張対応可能者優遇。期間11月～2026年02月。作業場所: 飯田橋（週2～3リモート可）。募集人数1名。商流制限あり（貴社まで）。外国籍・個人事業主不可。45歳まで。月数回の客先対応（虎ノ門）および地方出張の可能性あり。,~65万,EBAテック株式会社より、官公庁向けネットワーク更改案件の設計構築要員を募集。FW/L3/L2/AP等の設計構築経験と無線LAN構築経験が必須。飯田橋での勤務（週2～3リモート可）で、期間は11月から2026年2月までの中長期案件。月単価は～65万円。45歳までの外国籍不可、個人事業主不可。月数回の客先対応や地方出張の可能性あり。
"Linux, Java, Oracle, 仮想基盤, インフラ, RHEL, Apache, Tomcat, Spring MVC, OpenJDK","期間: 1月～長期想定, 場所: 東京都・西葛西 (テレワークあり), 人数: 1名, 精算: 140h～180h, 勤務時間: 9:00～18:00, 面談回数: 2回, 商流: 貴社まで, 年齢制限: 50代まで, 国籍: 日本人のみ, プロジェクト内容: 仮想基盤マイグレーション (RHEL、Oracle、Apache、Tomcat等のバージョンアップ、フレームワーク変更)",~55万,仮想基盤マイグレーション案件。株式市場での不正行為情報共有システムの基盤更改に伴い、現行共通基盤と新共通仮想基盤の差分整理、システム構成確定、既存ソースを利用したマイグレーション（ミドルウェアバージョンアップ、フレームワーク変更）を実施。Linux、仮想基盤上におけるOS・ミドルウェア設定経験必須。Java、Oracle、証券業務知識尚可。1名、1月～長期、西葛西（テレワークあり）、単価～55万。
"Linux (RHEL), Oracle DB, Apache, Tomcat, WebSphere Application Server, TERASOLUNA Server Framework for Java, Spring MVC, Java (OpenJDK), 仮想基盤 (OS/MW設定)",期間: 2026年1月～7月末、場所: 西葛西(常駐)、面談: 2回(web・対面未定)、募集人数: 1名、年齢制限: 55歳まで、商流制限: 貴社所属まで、外国籍制限: 不可、精算: 140-180、サイト: 45日、就業時間: 9:30～18:00、人物像: 自走できる方、コミュニケーション能力、指示待ち不可、健康面で不安のない方、若手枠,50万円前後,"GFD社からのインフラ基盤更改案件。株式市場の不正行為情報共有システム基盤のマイグレーション（OS:RHEL, DB:Oracle, AP:Tomcat/WebSphere, FW:TERASOLUNA/Spring MVC, Java）。Linux構築経験（設計尚良）と仮想基盤上のOS/ミドルウェア設定経験が必須。西葛西常駐、単価50万円前後、2026年1月～7月末の案件で、自走力とコミュニケーション能力が求められます。"
"インフラ構築(2-3年), Linux, 仮想基盤におけるOS・ミドルウェア設定, 証券業務知識, Java, Oracle",案件名: コンプライアンスWAN更改に伴う仮想基盤マイグレーション対応（メンバー枠）。現行RHEL5.9/Oracle11gR2/IHS8.5/WebSphere8.5/FINALUNA+Struts1.1/Java1.7からRHEL8or9/Oracle19c_21c/Apache2.4.x/Tomcat9.x/TERASOLUNA+SpringMVC/OpenJDK17への移行。仮想基盤上のOS・ミドルウェア設定、データ移行が主な対象。勤務地: 東京都・西葛西（テレワークあり）。期間: 2026年1月～長期。面談: WEB面談1～2回。募集人数: SE 1名。PC貸与あり。外国籍不可。商流: 貴社まで（支援費可能であれば1社先可）。,"50-60万円/月目安 (スキル見合い, 稼働160h/月目安, 精算幅140h-180h)",インフラ/Linux/仮想基盤上でのOS・ミドルウェア設定・構築・データ移行を含む仮想基盤マイグレーション案件。2026年1月～長期、西葛西（リモート併用）。単価50-60万円目安。外国籍不可。
"インフラ構築, Linux, 仮想基盤, OS・ミドルウェア設定, Oracle, Apache, Tomcat, Spring MVC, Java","勤務地:東京都・西葛西(テレワークあり), 期間:2026年1月～長期, 精算幅:140h～180h/月, 面談:WEB1-2回, 募集人数:1名, PC貸与あり, 外国籍不可, 商流:1社先可, 尚可:証券業務・取引所関連業務知識",50-60万位目安,コンプライアンスWAN更改に伴う仮想基盤マイグレーション対応（メンバー枠）。現行共通基盤と新共通仮想基盤の差分を要件定義で整理し、システム構成を確定。既存ソースを利用したミドルウェアバージョンアップ、フレームワーク変更等のマイグレーション。仮想基盤上のOS・ミドルウェア設定、データ移行が主な対象。
"仮想デスクトップ, Windowsクライアント, PowerShell, Windowsサーバ構築, 仮想化基盤, Active Directory, クライアント管理ツール, 障害対応","外国籍可, 年齢不問, 大規模ユーザー環境のクライアント基盤運用・保守/更改, 長期案件, 神谷町勤務, 2名募集, 即日〜長期, 休日/夜間作業可能性あり",75万,大規模ユーザー環境のクライアント基盤運用・保守・更改案件。仮想デスクトップやWindowsクライアントの運用・構築経験者を募集。神谷町勤務で即日〜長期、2名体制。外国籍・年齢不問。
"仮想デスクトップ, Windowsクライアント, PowerShell, Windowsサーバ, 仮想化基盤, Active Directory","外国籍可, 即日～長期, 2名募集, 大規模ユーザー環境, 基盤運用・保守, 更改案件, 神谷町勤務, 国籍・年齢不問",スキル見合い（75万）,大規模ユーザー環境のクライアント基盤運用・保守・更改案件にて、仮想デスクトップやWindowsクライアントの運用・構築経験があるエンジニアを2名募集。神谷町勤務、即日～長期。外国籍・年齢不問。単価スキル見合い（75万）。
